event_id,campaign_id,campaign_name,campaign_type,subscriber_id,event_type,event_date
EVT000040,1,January New Year Sale,Promotional,SUB0706,Sent,2024-01-05
EVT000041,1,January New Year Sale,Promotional,SUB1355,Sent,2024-01-05
EVT000042,1,January New Year Sale,Promotional,SUB0653,Sent,2024-01-05
EVT000043,1,January New Year Sale,Promotional,SUB1267,Sent,2024-01-05
EVT000044,1,January New Year Sale,Promotional,SUB0183,Sent,2024-01-05
EVT000045,1,January New Year Sale,Promotional,SUB0743,Sent,2024-01-05
EVT000046,1,January New Year Sale,Promotional,SUB0743,Opened,2024-01-05
EVT000047,1,January New Year Sale,Promotional,SUB1347,Sent,2024-01-05
EVT000048,1,January New Year Sale,Promotional,SUB0214,Sent,2024-01-05
EVT000049,1,January New Year Sale,Promotional,SUB0214,Opened,2024-01-06
EVT000050,1,January New Year Sale,Promotional,SUB0335,Sent,2024-01-05
EVT000051,1,January New Year Sale,Promotional,SUB0919,Sent,2024-01-05
EVT000052,1,January New Year Sale,Promotional,SUB0459,Sent,2024-01-05
EVT000053,1,January New Year Sale,Promotional,SUB0459,Opened,2024-01-07
EVT000054,1,January New Year Sale,Promotional,SUB0038,Sent,2024-01-05
EVT000055,1,January New Year Sale,Promotional,SUB0448,Sent,2024-01-05
EVT000056,1,January New Year Sale,Promotional,SUB0448,Opened,2024-01-05
EVT000057,1,January New Year Sale,Promotional,SUB0239,Sent,2024-01-05
EVT000058,1,January New Year Sale,Promotional,SUB1025,Sent,2024-01-05
EVT000059,1,January New Year Sale,Promotional,SUB1400,Sent,2024-01-05
EVT000060,1,January New Year Sale,Promotional,SUB1400,Opened,2024-01-07
EVT000061,1,January New Year Sale,Promotional,SUB0403,Sent,2024-01-05
EVT000062,1,January New Year Sale,Promotional,SUB0771,Sent,2024-01-05
EVT000063,1,January New Year Sale,Promotional,SUB1240,Sent,2024-01-05
EVT000064,1,January New Year Sale,Promotional,SUB0065,Sent,2024-01-05
EVT000065,1,January New Year Sale,Promotional,SUB0980,Sent,2024-01-05
EVT000066,1,January New Year Sale,Promotional,SUB0991,Sent,2024-01-05
EVT000067,1,January New Year Sale,Promotional,SUB0991,Opened,2024-01-05
EVT000068,1,January New Year Sale,Promotional,SUB0294,Sent,2024-01-05
EVT000069,1,January New Year Sale,Promotional,SUB1030,Sent,2024-01-05
EVT000070,1,January New Year Sale,Promotional,SUB0573,Sent,2024-01-05
EVT000071,1,January New Year Sale,Promotional,SUB0573,Opened,2024-01-07
EVT000072,1,January New Year Sale,Promotional,SUB0043,Sent,2024-01-05
EVT000073,1,January New Year Sale,Promotional,SUB1358,Sent,2024-01-05
EVT000074,1,January New Year Sale,Promotional,SUB0808,Sent,2024-01-05
EVT000075,1,January New Year Sale,Promotional,SUB0218,Sent,2024-01-05
EVT000076,1,January New Year Sale,Promotional,SUB0218,Opened,2024-01-05
EVT000077,1,January New Year Sale,Promotional,SUB0547,Sent,2024-01-05
EVT000078,1,January New Year Sale,Promotional,SUB0948,Sent,2024-01-05
EVT000079,1,January New Year Sale,Promotional,SUB0948,Opened,2024-01-06
EVT000080,1,January New Year Sale,Promotional,SUB0715,Sent,2024-01-05
EVT000081,1,January New Year Sale,Promotional,SUB0182,Sent,2024-01-05
EVT000082,1,January New Year Sale,Promotional,SUB0611,Sent,2024-01-05
EVT000083,1,January New Year Sale,Promotional,SUB0872,Sent,2024-01-05
EVT000084,1,January New Year Sale,Promotional,SUB0905,Sent,2024-01-05
EVT000085,1,January New Year Sale,Promotional,SUB0905,Opened,2024-01-05
EVT000086,1,January New Year Sale,Promotional,SUB0905,Clicked,2024-01-05
EVT000087,1,January New Year Sale,Promotional,SUB0417,Sent,2024-01-05
EVT000088,1,January New Year Sale,Promotional,SUB0140,Sent,2024-01-05
EVT000089,1,January New Year Sale,Promotional,SUB1136,Sent,2024-01-05
EVT000090,1,January New Year Sale,Promotional,SUB1352,Sent,2024-01-05
EVT000091,1,January New Year Sale,Promotional,SUB0601,Sent,2024-01-05
EVT000092,1,January New Year Sale,Promotional,SUB0558,Sent,2024-01-05
EVT000093,1,January New Year Sale,Promotional,SUB1429,Sent,2024-01-05
EVT000094,1,January New Year Sale,Promotional,SUB0747,Sent,2024-01-05
EVT000095,1,January New Year Sale,Promotional,SUB1097,Sent,2024-01-05
EVT000096,1,January New Year Sale,Promotional,SUB0500,Sent,2024-01-05
EVT000097,1,January New Year Sale,Promotional,SUB0908,Sent,2024-01-05
EVT000098,1,January New Year Sale,Promotional,SUB0680,Sent,2024-01-05
EVT000099,1,January New Year Sale,Promotional,SUB0074,Sent,2024-01-05
EVT000100,1,January New Year Sale,Promotional,SUB1246,Sent,2024-01-05
EVT000101,1,January New Year Sale,Promotional,SUB1246,Opened,2024-01-06
EVT000102,1,January New Year Sale,Promotional,SUB0924,Sent,2024-01-05
EVT000103,1,January New Year Sale,Promotional,SUB0518,Sent,2024-01-05
EVT000104,1,January New Year Sale,Promotional,SUB1023,Sent,2024-01-05
EVT000105,1,January New Year Sale,Promotional,SUB0907,Sent,2024-01-05
EVT000106,1,January New Year Sale,Promotional,SUB0907,Opened,2024-01-06
EVT000107,1,January New Year Sale,Promotional,SUB0607,Sent,2024-01-05
EVT000108,1,January New Year Sale,Promotional,SUB0694,Sent,2024-01-05
EVT000109,1,January New Year Sale,Promotional,SUB0816,Sent,2024-01-05
EVT000110,1,January New Year Sale,Promotional,SUB1496,Sent,2024-01-05
EVT000111,1,January New Year Sale,Promotional,SUB1466,Sent,2024-01-05
EVT000112,1,January New Year Sale,Promotional,SUB1466,Opened,2024-01-07
EVT000113,1,January New Year Sale,Promotional,SUB0134,Sent,2024-01-05
EVT000114,1,January New Year Sale,Promotional,SUB1206,Sent,2024-01-05
EVT000115,1,January New Year Sale,Promotional,SUB0426,Sent,2024-01-05
EVT000116,1,January New Year Sale,Promotional,SUB0429,Sent,2024-01-05
EVT000117,1,January New Year Sale,Promotional,SUB0429,Opened,2024-01-06
EVT000118,1,January New Year Sale,Promotional,SUB0241,Sent,2024-01-05
EVT000119,1,January New Year Sale,Promotional,SUB0241,Opened,2024-01-07
EVT000120,1,January New Year Sale,Promotional,SUB0087,Sent,2024-01-05
EVT000121,1,January New Year Sale,Promotional,SUB0502,Sent,2024-01-05
EVT000122,1,January New Year Sale,Promotional,SUB1371,Sent,2024-01-05
EVT000123,1,January New Year Sale,Promotional,SUB0928,Sent,2024-01-05
EVT000124,1,January New Year Sale,Promotional,SUB1252,Sent,2024-01-05
EVT000125,1,January New Year Sale,Promotional,SUB0669,Sent,2024-01-05
EVT000126,1,January New Year Sale,Promotional,SUB0669,Opened,2024-01-05
EVT000127,1,January New Year Sale,Promotional,SUB0612,Sent,2024-01-05
EVT000128,1,January New Year Sale,Promotional,SUB0138,Sent,2024-01-05
EVT000129,1,January New Year Sale,Promotional,SUB0581,Sent,2024-01-05
EVT000130,1,January New Year Sale,Promotional,SUB1212,Sent,2024-01-05
EVT000131,1,January New Year Sale,Promotional,SUB1391,Sent,2024-01-05
EVT000132,1,January New Year Sale,Promotional,SUB0143,Sent,2024-01-05
EVT000133,1,January New Year Sale,Promotional,SUB0143,Opened,2024-01-06
EVT000134,1,January New Year Sale,Promotional,SUB1180,Sent,2024-01-05
EVT000135,1,January New Year Sale,Promotional,SUB1276,Sent,2024-01-05
EVT000136,1,January New Year Sale,Promotional,SUB1276,Opened,2024-01-05
EVT000137,1,January New Year Sale,Promotional,SUB1433,Sent,2024-01-05
EVT000138,1,January New Year Sale,Promotional,SUB1364,Sent,2024-01-05
EVT000139,1,January New Year Sale,Promotional,SUB1364,Opened,2024-01-05
EVT000140,1,January New Year Sale,Promotional,SUB1364,Clicked,2024-01-05
EVT000141,1,January New Year Sale,Promotional,SUB0824,Sent,2024-01-05
EVT000142,1,January New Year Sale,Promotional,SUB0871,Sent,2024-01-05
EVT000143,1,January New Year Sale,Promotional,SUB0871,Opened,2024-01-07
EVT000144,1,January New Year Sale,Promotional,SUB1397,Sent,2024-01-05
EVT000145,1,January New Year Sale,Promotional,SUB1103,Sent,2024-01-05
EVT000146,1,January New Year Sale,Promotional,SUB0373,Sent,2024-01-05
EVT000147,1,January New Year Sale,Promotional,SUB0278,Sent,2024-01-05
EVT000148,1,January New Year Sale,Promotional,SUB1101,Sent,2024-01-05
EVT000149,1,January New Year Sale,Promotional,SUB1014,Sent,2024-01-05
EVT000150,1,January New Year Sale,Promotional,SUB1428,Sent,2024-01-05
EVT000151,1,January New Year Sale,Promotional,SUB0545,Sent,2024-01-05
EVT000152,1,January New Year Sale,Promotional,SUB0117,Sent,2024-01-05
EVT000153,1,January New Year Sale,Promotional,SUB0007,Sent,2024-01-05
EVT000154,1,January New Year Sale,Promotional,SUB0535,Sent,2024-01-05
EVT000155,1,January New Year Sale,Promotional,SUB0861,Sent,2024-01-05
EVT000156,1,January New Year Sale,Promotional,SUB0956,Sent,2024-01-05
EVT000157,1,January New Year Sale,Promotional,SUB0956,Opened,2024-01-06
EVT000158,1,January New Year Sale,Promotional,SUB1110,Sent,2024-01-05
EVT000159,1,January New Year Sale,Promotional,SUB0970,Sent,2024-01-05
EVT000160,1,January New Year Sale,Promotional,SUB0970,Opened,2024-01-07
EVT000161,1,January New Year Sale,Promotional,SUB0369,Sent,2024-01-05
EVT000162,1,January New Year Sale,Promotional,SUB0926,Sent,2024-01-05
EVT000163,1,January New Year Sale,Promotional,SUB0926,Opened,2024-01-05
EVT000164,1,January New Year Sale,Promotional,SUB1074,Sent,2024-01-05
EVT000165,1,January New Year Sale,Promotional,SUB0481,Sent,2024-01-05
EVT000166,1,January New Year Sale,Promotional,SUB1333,Sent,2024-01-05
EVT000167,1,January New Year Sale,Promotional,SUB1154,Sent,2024-01-05
EVT000168,1,January New Year Sale,Promotional,SUB0175,Sent,2024-01-05
EVT000169,1,January New Year Sale,Promotional,SUB1159,Sent,2024-01-05
EVT000170,1,January New Year Sale,Promotional,SUB1325,Sent,2024-01-05
EVT000171,1,January New Year Sale,Promotional,SUB0436,Sent,2024-01-05
EVT000172,1,January New Year Sale,Promotional,SUB0267,Sent,2024-01-05
EVT000173,1,January New Year Sale,Promotional,SUB0267,Opened,2024-01-07
EVT000174,1,January New Year Sale,Promotional,SUB0398,Sent,2024-01-05
EVT000175,1,January New Year Sale,Promotional,SUB0398,Opened,2024-01-07
EVT000176,1,January New Year Sale,Promotional,SUB0405,Sent,2024-01-05
EVT000177,1,January New Year Sale,Promotional,SUB0405,Opened,2024-01-06
EVT000178,1,January New Year Sale,Promotional,SUB0405,Clicked,2024-01-06
EVT000179,1,January New Year Sale,Promotional,SUB0709,Sent,2024-01-05
EVT000180,1,January New Year Sale,Promotional,SUB0709,Opened,2024-01-06
EVT000181,1,January New Year Sale,Promotional,SUB0654,Sent,2024-01-05
EVT000182,1,January New Year Sale,Promotional,SUB0814,Sent,2024-01-05
EVT000183,1,January New Year Sale,Promotional,SUB1301,Sent,2024-01-05
EVT000184,1,January New Year Sale,Promotional,SUB0720,Sent,2024-01-05
EVT000185,1,January New Year Sale,Promotional,SUB0854,Sent,2024-01-05
EVT000186,1,January New Year Sale,Promotional,SUB0020,Sent,2024-01-05
EVT000187,1,January New Year Sale,Promotional,SUB0684,Sent,2024-01-05
EVT000188,1,January New Year Sale,Promotional,SUB0684,Opened,2024-01-08
EVT000189,1,January New Year Sale,Promotional,SUB1145,Sent,2024-01-05
EVT000190,1,January New Year Sale,Promotional,SUB0995,Sent,2024-01-05
EVT000191,1,January New Year Sale,Promotional,SUB0995,Opened,2024-01-06
EVT000192,1,January New Year Sale,Promotional,SUB1223,Sent,2024-01-05
EVT000193,1,January New Year Sale,Promotional,SUB0840,Sent,2024-01-05
EVT000194,1,January New Year Sale,Promotional,SUB0988,Sent,2024-01-05
EVT000195,1,January New Year Sale,Promotional,SUB0971,Sent,2024-01-05
EVT000196,1,January New Year Sale,Promotional,SUB0971,Opened,2024-01-05
EVT000197,1,January New Year Sale,Promotional,SUB0971,Clicked,2024-01-05
EVT000198,1,January New Year Sale,Promotional,SUB1419,Sent,2024-01-05
EVT000199,1,January New Year Sale,Promotional,SUB1419,Opened,2024-01-07
EVT000200,1,January New Year Sale,Promotional,SUB0034,Sent,2024-01-05
EVT000201,1,January New Year Sale,Promotional,SUB0615,Sent,2024-01-05
EVT000202,1,January New Year Sale,Promotional,SUB0615,Opened,2024-01-07
EVT000203,1,January New Year Sale,Promotional,SUB1078,Sent,2024-01-05
EVT000204,1,January New Year Sale,Promotional,SUB1131,Sent,2024-01-05
EVT000205,1,January New Year Sale,Promotional,SUB1131,Opened,2024-01-07
EVT000206,1,January New Year Sale,Promotional,SUB1131,Clicked,2024-01-07
EVT000207,1,January New Year Sale,Promotional,SUB1416,Sent,2024-01-05
EVT000208,1,January New Year Sale,Promotional,SUB1295,Sent,2024-01-05
EVT000209,1,January New Year Sale,Promotional,SUB0594,Sent,2024-01-05
EVT000210,1,January New Year Sale,Promotional,SUB0594,Opened,2024-01-05
EVT000211,1,January New Year Sale,Promotional,SUB0594,Clicked,2024-01-05
EVT000212,1,January New Year Sale,Promotional,SUB0410,Sent,2024-01-05
EVT000213,1,January New Year Sale,Promotional,SUB0486,Sent,2024-01-05
EVT000214,1,January New Year Sale,Promotional,SUB0486,Opened,2024-01-07
EVT000215,1,January New Year Sale,Promotional,SUB0486,Clicked,2024-01-07
EVT000216,1,January New Year Sale,Promotional,SUB1351,Sent,2024-01-05
EVT000217,1,January New Year Sale,Promotional,SUB1181,Sent,2024-01-05
EVT000218,1,January New Year Sale,Promotional,SUB0990,Sent,2024-01-05
EVT000219,1,January New Year Sale,Promotional,SUB0357,Sent,2024-01-05
EVT000220,1,January New Year Sale,Promotional,SUB1380,Sent,2024-01-05
EVT000221,1,January New Year Sale,Promotional,SUB1133,Sent,2024-01-05
EVT000222,1,January New Year Sale,Promotional,SUB1199,Sent,2024-01-05
EVT000223,1,January New Year Sale,Promotional,SUB0272,Sent,2024-01-05
EVT000224,1,January New Year Sale,Promotional,SUB0800,Sent,2024-01-05
EVT000225,1,January New Year Sale,Promotional,SUB1037,Sent,2024-01-05
EVT000226,1,January New Year Sale,Promotional,SUB1037,Opened,2024-01-06
EVT000227,1,January New Year Sale,Promotional,SUB0168,Sent,2024-01-05
EVT000228,1,January New Year Sale,Promotional,SUB1150,Sent,2024-01-05
EVT000229,1,January New Year Sale,Promotional,SUB0865,Sent,2024-01-05
EVT000230,1,January New Year Sale,Promotional,SUB0251,Sent,2024-01-05
EVT000231,1,January New Year Sale,Promotional,SUB1205,Sent,2024-01-05
EVT000232,1,January New Year Sale,Promotional,SUB1247,Sent,2024-01-05
EVT000233,1,January New Year Sale,Promotional,SUB1171,Sent,2024-01-05
EVT000234,1,January New Year Sale,Promotional,SUB1171,Opened,2024-01-05
EVT000235,1,January New Year Sale,Promotional,SUB1171,Clicked,2024-01-05
EVT000236,1,January New Year Sale,Promotional,SUB0549,Sent,2024-01-05
EVT000237,1,January New Year Sale,Promotional,SUB0799,Sent,2024-01-05
EVT000238,1,January New Year Sale,Promotional,SUB0799,Opened,2024-01-08
EVT000239,1,January New Year Sale,Promotional,SUB0799,Clicked,2024-01-08
EVT000240,1,January New Year Sale,Promotional,SUB0561,Sent,2024-01-05
EVT000241,1,January New Year Sale,Promotional,SUB1147,Sent,2024-01-05
EVT000242,1,January New Year Sale,Promotional,SUB1147,Opened,2024-01-05
EVT000243,1,January New Year Sale,Promotional,SUB0260,Sent,2024-01-05
EVT000244,1,January New Year Sale,Promotional,SUB1446,Sent,2024-01-05
EVT000245,1,January New Year Sale,Promotional,SUB0794,Sent,2024-01-05
EVT000246,1,January New Year Sale,Promotional,SUB0794,Opened,2024-01-06
EVT000247,1,January New Year Sale,Promotional,SUB0664,Sent,2024-01-05
EVT000248,1,January New Year Sale,Promotional,SUB0385,Sent,2024-01-05
EVT000249,1,January New Year Sale,Promotional,SUB0784,Sent,2024-01-05
EVT000250,1,January New Year Sale,Promotional,SUB0784,Opened,2024-01-05
EVT000251,1,January New Year Sale,Promotional,SUB1378,Sent,2024-01-05
EVT000252,1,January New Year Sale,Promotional,SUB1108,Sent,2024-01-05
EVT000253,1,January New Year Sale,Promotional,SUB0789,Sent,2024-01-05
EVT000254,1,January New Year Sale,Promotional,SUB0825,Sent,2024-01-05
EVT000255,1,January New Year Sale,Promotional,SUB0825,Opened,2024-01-06
EVT000256,1,January New Year Sale,Promotional,SUB0825,Clicked,2024-01-06
EVT000257,1,January New Year Sale,Promotional,SUB1421,Sent,2024-01-05
EVT000258,1,January New Year Sale,Promotional,SUB0982,Sent,2024-01-05
EVT000259,1,January New Year Sale,Promotional,SUB0632,Sent,2024-01-05
EVT000260,1,January New Year Sale,Promotional,SUB0773,Sent,2024-01-05
EVT000261,1,January New Year Sale,Promotional,SUB1155,Sent,2024-01-05
EVT000262,1,January New Year Sale,Promotional,SUB0083,Sent,2024-01-05
EVT000263,1,January New Year Sale,Promotional,SUB0509,Sent,2024-01-05
EVT000264,1,January New Year Sale,Promotional,SUB0630,Sent,2024-01-05
EVT000265,1,January New Year Sale,Promotional,SUB0738,Sent,2024-01-05
EVT000266,1,January New Year Sale,Promotional,SUB0738,Opened,2024-01-06
EVT000267,1,January New Year Sale,Promotional,SUB0329,Sent,2024-01-05
EVT000268,1,January New Year Sale,Promotional,SUB0329,Opened,2024-01-07
EVT000269,1,January New Year Sale,Promotional,SUB0698,Sent,2024-01-05
EVT000270,1,January New Year Sale,Promotional,SUB0662,Sent,2024-01-05
EVT000271,1,January New Year Sale,Promotional,SUB0061,Sent,2024-01-05
EVT000272,1,January New Year Sale,Promotional,SUB0646,Sent,2024-01-05
EVT000273,1,January New Year Sale,Promotional,SUB0284,Sent,2024-01-05
EVT000274,1,January New Year Sale,Promotional,SUB1047,Sent,2024-01-05
EVT000275,1,January New Year Sale,Promotional,SUB1047,Opened,2024-01-05
EVT000276,1,January New Year Sale,Promotional,SUB0570,Sent,2024-01-05
EVT000277,1,January New Year Sale,Promotional,SUB0832,Sent,2024-01-05
EVT000278,1,January New Year Sale,Promotional,SUB0574,Sent,2024-01-05
EVT000279,1,January New Year Sale,Promotional,SUB0137,Sent,2024-01-05
EVT000280,1,January New Year Sale,Promotional,SUB0137,Opened,2024-01-05
EVT000281,1,January New Year Sale,Promotional,SUB1248,Sent,2024-01-05
EVT000282,1,January New Year Sale,Promotional,SUB0246,Sent,2024-01-05
EVT000283,1,January New Year Sale,Promotional,SUB0068,Sent,2024-01-05
EVT000284,1,January New Year Sale,Promotional,SUB0758,Sent,2024-01-05
EVT000285,1,January New Year Sale,Promotional,SUB0758,Opened,2024-01-07
EVT000286,1,January New Year Sale,Promotional,SUB0375,Sent,2024-01-05
EVT000287,1,January New Year Sale,Promotional,SUB0375,Opened,2024-01-05
EVT000288,1,January New Year Sale,Promotional,SUB0375,Clicked,2024-01-05
EVT000289,1,January New Year Sale,Promotional,SUB0791,Sent,2024-01-05
EVT000290,1,January New Year Sale,Promotional,SUB1344,Sent,2024-01-05
EVT000291,1,January New Year Sale,Promotional,SUB1344,Opened,2024-01-06
EVT000292,1,January New Year Sale,Promotional,SUB1344,Clicked,2024-01-06
EVT000293,1,January New Year Sale,Promotional,SUB1344,Converted,2024-01-06
EVT000294,1,January New Year Sale,Promotional,SUB0870,Sent,2024-01-05
EVT000295,1,January New Year Sale,Promotional,SUB0731,Sent,2024-01-05
EVT000296,1,January New Year Sale,Promotional,SUB0181,Sent,2024-01-05
EVT000297,1,January New Year Sale,Promotional,SUB0181,Opened,2024-01-06
EVT000298,1,January New Year Sale,Promotional,SUB1235,Sent,2024-01-05
EVT000299,1,January New Year Sale,Promotional,SUB0370,Sent,2024-01-05
EVT000300,1,January New Year Sale,Promotional,SUB0370,Opened,2024-01-07
EVT000301,1,January New Year Sale,Promotional,SUB0673,Sent,2024-01-05
EVT000302,1,January New Year Sale,Promotional,SUB0586,Sent,2024-01-05
EVT000303,1,January New Year Sale,Promotional,SUB1021,Sent,2024-01-05
EVT000304,1,January New Year Sale,Promotional,SUB1031,Sent,2024-01-05
EVT000305,1,January New Year Sale,Promotional,SUB1031,Opened,2024-01-07
EVT000306,1,January New Year Sale,Promotional,SUB0999,Sent,2024-01-05
EVT000307,1,January New Year Sale,Promotional,SUB0591,Sent,2024-01-05
EVT000308,1,January New Year Sale,Promotional,SUB1415,Sent,2024-01-05
EVT000309,1,January New Year Sale,Promotional,SUB1435,Sent,2024-01-05
EVT000310,1,January New Year Sale,Promotional,SUB0078,Sent,2024-01-05
EVT000311,1,January New Year Sale,Promotional,SUB0078,Opened,2024-01-07
EVT000312,1,January New Year Sale,Promotional,SUB0617,Sent,2024-01-05
EVT000313,1,January New Year Sale,Promotional,SUB0610,Sent,2024-01-05
EVT000314,1,January New Year Sale,Promotional,SUB1331,Sent,2024-01-05
EVT000315,1,January New Year Sale,Promotional,SUB0503,Sent,2024-01-05
EVT000316,1,January New Year Sale,Promotional,SUB0704,Sent,2024-01-05
EVT000317,1,January New Year Sale,Promotional,SUB0277,Sent,2024-01-05
EVT000318,1,January New Year Sale,Promotional,SUB1497,Sent,2024-01-05
EVT000319,1,January New Year Sale,Promotional,SUB0812,Sent,2024-01-05
EVT000320,1,January New Year Sale,Promotional,SUB0228,Sent,2024-01-05
EVT000321,1,January New Year Sale,Promotional,SUB0228,Opened,2024-01-05
EVT000322,1,January New Year Sale,Promotional,SUB0637,Sent,2024-01-05
EVT000323,1,January New Year Sale,Promotional,SUB0344,Sent,2024-01-05
EVT000324,1,January New Year Sale,Promotional,SUB0344,Opened,2024-01-06
EVT000325,1,January New Year Sale,Promotional,SUB0344,Clicked,2024-01-06
EVT000326,1,January New Year Sale,Promotional,SUB0141,Sent,2024-01-05
EVT000327,1,January New Year Sale,Promotional,SUB1189,Sent,2024-01-05
EVT000328,1,January New Year Sale,Promotional,SUB1091,Sent,2024-01-05
EVT000329,1,January New Year Sale,Promotional,SUB0678,Sent,2024-01-05
EVT000330,1,January New Year Sale,Promotional,SUB0678,Opened,2024-01-06
EVT000331,1,January New Year Sale,Promotional,SUB0678,Clicked,2024-01-06
EVT000332,1,January New Year Sale,Promotional,SUB1079,Sent,2024-01-05
EVT000333,1,January New Year Sale,Promotional,SUB0374,Sent,2024-01-05
EVT000334,1,January New Year Sale,Promotional,SUB0374,Bounced,2024-01-05
EVT000335,1,January New Year Sale,Promotional,SUB0257,Sent,2024-01-05
EVT000336,1,January New Year Sale,Promotional,SUB0257,Opened,2024-01-05
EVT000337,1,January New Year Sale,Promotional,SUB0525,Sent,2024-01-05
EVT000338,1,January New Year Sale,Promotional,SUB1071,Sent,2024-01-05
EVT000339,1,January New Year Sale,Promotional,SUB1071,Opened,2024-01-05
EVT000340,1,January New Year Sale,Promotional,SUB0094,Sent,2024-01-05
EVT000341,1,January New Year Sale,Promotional,SUB0564,Sent,2024-01-05
EVT000342,1,January New Year Sale,Promotional,SUB0819,Sent,2024-01-05
EVT000343,1,January New Year Sale,Promotional,SUB1123,Sent,2024-01-05
EVT000344,1,January New Year Sale,Promotional,SUB0902,Sent,2024-01-05
EVT000345,1,January New Year Sale,Promotional,SUB0216,Sent,2024-01-05
EVT000346,1,January New Year Sale,Promotional,SUB1244,Sent,2024-01-05
EVT000347,1,January New Year Sale,Promotional,SUB1244,Opened,2024-01-05
EVT000348,1,January New Year Sale,Promotional,SUB0697,Sent,2024-01-05
EVT000349,1,January New Year Sale,Promotional,SUB0584,Sent,2024-01-05
EVT000350,1,January New Year Sale,Promotional,SUB0850,Sent,2024-01-05
EVT000351,1,January New Year Sale,Promotional,SUB0850,Opened,2024-01-07
EVT000352,1,January New Year Sale,Promotional,SUB1451,Sent,2024-01-05
EVT000353,1,January New Year Sale,Promotional,SUB1225,Sent,2024-01-05
EVT000354,1,January New Year Sale,Promotional,SUB0529,Sent,2024-01-05
EVT000355,1,January New Year Sale,Promotional,SUB1345,Sent,2024-01-05
EVT000356,1,January New Year Sale,Promotional,SUB1268,Sent,2024-01-05
EVT000357,1,January New Year Sale,Promotional,SUB0621,Sent,2024-01-05
EVT000358,1,January New Year Sale,Promotional,SUB1005,Sent,2024-01-05
EVT000359,1,January New Year Sale,Promotional,SUB1329,Sent,2024-01-05
EVT000360,1,January New Year Sale,Promotional,SUB1394,Sent,2024-01-05
EVT000361,1,January New Year Sale,Promotional,SUB0749,Sent,2024-01-05
EVT000362,1,January New Year Sale,Promotional,SUB1046,Sent,2024-01-05
EVT000363,1,January New Year Sale,Promotional,SUB1046,Opened,2024-01-06
EVT000364,1,January New Year Sale,Promotional,SUB0801,Sent,2024-01-05
EVT000365,1,January New Year Sale,Promotional,SUB0629,Sent,2024-01-05
EVT000366,1,January New Year Sale,Promotional,SUB0629,Opened,2024-01-05
